"LagodeAjo" "LagoBurgo" "TurberadelPradell" "Tramacastilla" "IbndelasRanas" "LagunadeRoSeco" "Gador" "LagoaComprida" "LaPanera" "Serranillos"
"LagodeAjo" 0 302.144663647368 333.91109235 338.424152985714 280.1162462 326.415537742857 314.607876988 335.669799341667 361.771082233333 380.80953335
"LagoBurgo" 302.144663647368 0 307.790083690789 328.53861643609 256.091632282895 298.57985806391 279.72434904421 305.65874322807 353.786633192982 357.314878032895
"TurberadelPradell" 333.91109235 307.790083690789 0 355.048985303571 303.1996603125 325.319724446429 315.019472865 338.68476690625 378.299989541667 392.208037625
"Tramacastilla" 338.424152985714 328.53861643609 355.048985303571 0 297.513031982143 351.577926989796 341.86950616 361.109485208333 370.995683809524 396.622740946429
"IbndelasRanas" 280.1162462 256.091632282895 303.1996603125 297.513031982143 0 292.660373071429 276.224148025 301.429821171875 322.169719541667 337.4794874375
"LagunadeRoSeco" 326.415537742857 298.57985806391 325.319724446429 351.577926989796 292.660373071429 0 299.803686242857 324.575091782738 369.324321904762 387.830189125
"Gador" 314.607876988 279.72434904421 315.019472865 341.86950616 276.224148025 299.803686242857 0 307.673194896667 363.207163586667 375.579880285
"LagoaComprida" 335.669799341667 305.65874322807 338.68476690625 361.109485208333 301.429821171875 324.575091782738 307.673194896667 0 375.671624097222 391.664907515625
"LaPanera" 361.771082233333 353.786633192982 378.299989541667 370.995683809524 322.169719541667 369.324321904762 363.207163586667 375.671624097222 0 410.866997625
"Serranillos" 380.80953335 357.314878032895 392.208037625 396.622740946429 337.4794874375 387.830189125 375.579880285 391.664907515625 410.866997625 0
