"LagodeAjo" "Corteguero" "DolinadePolvoredo" "PuertodeSanIsidro" "LagoBurg" "Tramacastilla" "ElPortalet" "IbondelasRanas" "LagunadeRioSeco" "Gador" "LagoaComprida"
"LagodeAjo" 0 271.70835 276.018607409091 245.043203227273 278.821112916667 225.585266875 319.400923083333 217.982821125 295.731665590909 276.455981892857 274.308555222222
"Corteguero" 271.70835 0 311.518578671717 279.725936126263 300.266338351852 302.928507333333 364.365313425926 277.158466722222 309.918224843434 302.716511119048 286.055619841564
"DolinadePolvoredo" 276.018607409091 311.518578671717 0 292.783142677686 326.038071090909 304.757218909091 372.652223075758 286.616124886364 335.665202223141 321.417221766234 310.315385821549
"PuertodeSanIsidro" 245.043203227273 279.725936126263 292.783142677686 0 290.455486681818 272.003201636364 342.733901924242 251.381554454545 305.195996520661 291.953207415584 271.360966885522
"LagoBurg" 278.821112916667 300.266338351852 326.038071090909 290.455486681818 0 314.327436625 365.857196277778 287.7669274375 321.953261954545 310.805599988095 299.003504253086
"Tramacastilla" 225.585266875 302.928507333333 304.757218909091 272.003201636364 314.327436625 0 325.509090333333 246.7554304375 314.680749318182 308.879001392857 299.168654055556
"ElPortalet" 319.400923083333 364.365313425926 372.652223075758 342.733901924242 365.857196277778 325.509090333333 0 332.672493208333 372.624539348485 374.670528047619 365.860544487654
"IbondelasRanas" 217.982821125 277.158466722222 286.616124886364 251.381554454545 287.7669274375 246.7554304375 332.672493208333 0 300.089076340909 286.426434875 275.953265842593
"LagunadeRioSeco" 295.731665590909 309.918224843434 335.665202223141 305.195996520661 321.953261954545 314.680749318182 372.624539348485 300.089076340909 0 324.367677207792 308.705298794613
"Gador" 276.455981892857 302.716511119048 321.417221766234 291.953207415584 310.805599988095 308.879001392857 374.670528047619 286.426434875 324.367677207792 0 297.020921365079
"LagoaComprida" 274.308555222222 286.055619841564 310.315385821549 271.360966885522 299.003504253086 299.168654055556 365.860544487654 275.953265842593 308.705298794613 297.020921365079 0
