"ntaxa" "mntd.obs" "mntd.rand.mean" "mntd.rand.sd" "mntd.obs.rank" "mntd.obs.z" "mntd.obs.p" "runs"
"LagodeAjo" 4 114.292157941176 250.116482552436 62.1517363931072 2 -2.18536653187252 0.02 99
"Corteguero" 18 124.07921227027 194.128813435326 46.4157070316549 3 -1.50917880271183 0.03 99
"DolinadePolvoredo" 11 245.300391462185 207.435406163908 52.7532798092907 84 0.717774997785223 0.84 99
"PuertodeSanIsidro" 11 115.378508936 212.536400432323 44.0501916842824 1 -2.20561790497248 0.01 99
"LagoBurg" 12 158.799391631579 210.411858117092 41.1664759381326 8 -1.25374993388016 0.08 99
"Tramacastilla" 4 130.872237 250.069246153439 78.8119070831114 3 -1.51242386544129 0.03 99
"ElPortalet" 6 175.302974507937 241.833256385281 77.1386203950428 17 -0.862476947819776 0.17 99
"IbondelasRanas" 8 118.284020888889 228.336274054433 61.387934168516 3 -1.79273426702127 0.03 99
"LagunadeRioSeco" 11 174.435520753846 219.063446482051 67.5291558355745 17 -0.660869000596851 0.17 99
"Gador" 14 149.845261538462 197.149433696063 58.8246061145114 14 -0.804156207446873 0.14 99
"LagoaComprida" 27 141.331897278075 177.609190563334 38.3136133467107 16 -0.94685126555346 0.16 99
