"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"LagodeAjo" 4 108.160298278547 198.950662904495 73.7083149457073 2 -1.23175200373015 0.02 99
"Corteguero" 18 230.103563903229 263.969667083503 57.1112233721634 36 -0.592985076848853 0.36 99
"DolinadePolvoredo" 11 347.265219178872 245.546715208633 70.4272393849805 87 1.44430627777711 0.87 99
"PuertodeSanIsidro" 11 184.37859175808 252.167187831174 70.833209726151 11 -0.957017144008758 0.11 99
"LagoBurg" 12 259.431273395429 263.258724241952 71.8621085127082 60 -0.0532610429298196 0.6 99
"Tramacastilla" 4 129.908569987528 172.634481874367 71.5105127862845 43 -0.597477352938708 0.43 99
"ElPortalet" 6 227.988491748047 203.426205140414 67.8145968524546 78 0.362197635135603 0.78 99
"IbondelasRanas" 8 220.242499074074 233.288539448463 65.4292767668191 55 -0.199391480680474 0.55 99
"LagunadeRioSeco" 11 250.536307978225 222.905331063286 58.2248017806036 79 0.474556822349603 0.79 99
"Gador" 14 227.267457589086 227.998296386727 53.7589257257455 61 -0.0135947433430774 0.61 99
"LagoaComprida" 27 226.818609156567 259.974938160226 57.9522334775043 32 -0.572132030364782 0.32 99
